netrent,netrent.sqm,living.space,rooms,year,district,location,warm.water,central.heating,bath.tiles,bath.extras,upscale.kitchen
537.44,10.14,53,2,1918,18,simple,yes,yes,yes,no,no
367.78,4.84,76,3,1948,17,simple,yes,yes,yes,no,no
250.09,4.31,58,2,1966,16,simple,yes,yes,yes,no,no
404.72,5.62,72,3,1957.5,17,simple,yes,yes,yes,no,no
445.13,6.36,70,3,1966,18,simple,yes,yes,yes,no,no
564.27,7.05,80,3,1976,18,best,yes,yes,yes,no,no
562.43,9.87,57,2,1948,18,simple,yes,yes,yes,no,no
613.33,9.89,62,2,1972,18,simple,yes,yes,yes,no,no
542.86,9.2,59,2,1957,18,simple,yes,yes,yes,no,no
1165.75,11.54,101,5,1960,18,simple,yes,yes,yes,no,no
320.07,9.14,35,1,1966,18,simple,yes,yes,yes,no,no
824.21,10.3,80,3,1918,5,good,yes,yes,yes,no,no
307.68,4.27,72,3,1918,5,good,no,no,yes,no,no
498.79,6.83,73,3,1960,18,simple,yes,yes,yes,no,no
357.91,11.18,32,1,1975,5,simple,yes,yes,yes,no,no
1053.25,17.27,61,2,1997,18,simple,yes,yes,yes,no,yes
761.94,8.37,91,4,1968,18,good,yes,yes,yes,yes,no
460.17,9.79,47,1,1996,18,simple,yes,yes,yes,no,no
368.59,7.09,52,2,2000,18,good,yes,yes,yes,no,no
417.34,8.03,52,2,1939,18,good,yes,yes,yes,no,no
584.25,8.35,70,2,1918,5,simple,yes,yes,yes,yes,no
532.31,10.65,50,2,1957,18,simple,yes,yes,yes,no,no
733.6,6.67,110,4,1918,18,simple,yes,no,yes,yes,yes
745.62,11.84,63,2,1918,1,good,yes,yes,yes,no,no
483.69,10.08,48,1,1948,3,good,yes,yes,yes,no,no
574.25,8.32,69,3,1966,14,simple,yes,yes,yes,no,no
746.32,9.1,82,3,1918,2,good,yes,yes,no,no,no
480.88,6.09,79,3,1948,2,good,yes,yes,yes,no,no
402.91,4.03,100,4,1918,2,good,yes,yes,yes,no,no
640.39,6.74,95,3,1918,2,simple,yes,no,yes,no,no
458.03,5.33,86,4,1972,11,simple,yes,yes,no,no,yes
283.36,7.66,37,1,1969,19,simple,yes,yes,no,no,no
483.16,6.9,70,3,1971,19,simple,yes,yes,no,no,no
457.2,9.94,46,1,1971,19,good,yes,yes,yes,no,no
637.95,7.01,91,4,1969,19,simple,yes,yes,no,no,no
634.76,8.14,78,3,1987,19,simple,yes,yes,yes,no,no
749.05,8.23,91,3,1972,7,simple,yes,yes,yes,no,no
741.39,7.89,94,4,1966,7,simple,yes,yes,yes,no,no
434.24,7.24,60,3,1966,6,simple,yes,yes,no,no,no
573.37,6.67,86,4,1970,16,simple,yes,yes,yes,no,no
659.58,7.76,85,4,1969,16,simple,yes,yes,yes,no,no
422.3,6.12,69,3,1973,16,simple,yes,yes,yes,no,no
379.29,7.29,52,2,1973,16,simple,yes,yes,yes,no,no
441.41,4.65,95,3,1957.5,8,simple,yes,yes,yes,no,no
805.33,7.74,104,3,1983,22,simple,yes,yes,yes,yes,yes
680.03,9.44,72,2,1918,4,good,no,yes,yes,no,no
677.46,9.41,72,2,1990,4,good,yes,yes,yes,no,no
1012.86,11.92,85,3,1957,4,good,yes,yes,yes,no,no
605.31,7.12,85,3,1957,4,good,yes,yes,yes,no,no
689.2,6.69,103,4,1918,4,good,yes,yes,yes,no,no
613.56,9.9,62,3,1957,4,good,yes,no,yes,no,no
628.29,8.38,75,3,1948,4,good,yes,yes,yes,no,no
482.96,8.78,55,2,1957,3,good,yes,no,yes,no,no
843.65,11.25,75,3,1918,2,simple,yes,yes,yes,no,no
488.08,8.42,58,2,1966,3,good,yes,yes,yes,no,no
267.48,7.43,36,1,1957.5,9,simple,yes,yes,yes,no,no
366.55,4.7,78,3,1924,25,simple,yes,no,yes,no,no
818.08,10.1,81,3,1918,2,good,yes,yes,yes,yes,no
383.47,8.72,44,1,1918,9,simple,yes,yes,yes,no,no
460,6.48,71,3,1918,9,good,yes,no,yes,no,no
244.5,12.22,20,1,1918,9,simple,yes,no,no,no,no
393.7,8.95,44,1,1939,9,good,yes,yes,yes,no,no
818.07,8.18,100,4,1924,10,simple,yes,yes,yes,yes,no
649.36,8.12,80,3,1918,9,simple,yes,yes,no,no,no
971.47,12.14,80,3,1988,9,good,yes,yes,yes,no,no
463.4,11.58,40,2,1918,5,good,yes,no,yes,no,no
541.8,8.09,67,3,1918,5,good,yes,yes,yes,no,no
698.14,6.84,102,3,1918,5,good,yes,yes,yes,no,no
574.62,9.58,60,2,1972,17,simple,yes,yes,yes,no,no
716,8.84,81,3,1960,4,good,yes,yes,yes,no,no
299.62,7.49,40,2,1948,11,simple,yes,yes,yes,no,no
501.07,9.64,52,2,1948,12,simple,yes,yes,yes,no,no
676.68,7.2,94,4,1918,5,good,yes,yes,yes,no,no
642.88,11.69,55,1,1960,13,good,yes,yes,yes,no,no
579.28,9.19,63,2,1991,13,simple,yes,yes,yes,no,no
498.5,7.67,65,3,1918,17,simple,yes,yes,yes,no,no
420.5,7.01,60,2,1918,17,simple,yes,yes,no,no,no
329.01,6.45,51,2,1966,23,simple,yes,yes,yes,no,no
169.74,3.2,53,2,1960,10,simple,yes,yes,no,no,no
324.72,5.8,56,2,1948,23,simple,yes,yes,yes,no,no
489.78,8.16,60,2,1948,21,good,yes,yes,yes,no,no
676.46,7.87,86,4,1968,6,simple,yes,yes,no,no,no
568.98,10.94,52,2,1987,18,simple,yes,yes,yes,no,no
408.02,6.8,60,2,1966,17,simple,yes,yes,yes,no,no
336.29,7.01,48,1,1970,17,simple,yes,yes,yes,no,no
806.79,8.77,92,4,1960,17,simple,yes,yes,yes,no,no
623.02,7.51,83,3,1973,16,simple,yes,yes,yes,no,yes
668.34,7.68,87,4,1966,16,good,yes,yes,yes,no,no
230.15,7.19,32,1,1975,14,simple,yes,yes,yes,no,no
441.41,6.79,65,2,1960,18,simple,yes,no,yes,no,no
489.58,6.9,71,3,1957.5,18,simple,yes,yes,yes,no,no
602.16,7.53,80,3,1918,5,good,yes,no,yes,no,no
285.7,16.81,17,1,1969,18,simple,yes,yes,yes,no,no
511.31,9.3,55,2,1968,3,good,yes,yes,no,no,no
306.78,7.67,40,2,1918,1,good,yes,yes,yes,no,no
485.24,8.22,59,3,1960,12,good,yes,yes,no,no,no
591.67,7.79,76,3,1957.5,12,good,yes,yes,yes,no,no
714.87,7.37,97,4,1918,3,good,yes,yes,yes,no,no
850.48,7.73,110,4,1960,21,good,yes,yes,yes,yes,no
1035.68,9.42,110,4,1957,21,good,yes,yes,yes,no,no
386.65,7.89,49,2,1993,3,good,yes,yes,yes,no,no
951.81,10.02,95,3,1918,2,simple,yes,no,yes,no,no
579.81,10.74,54,2,1957,2,good,yes,yes,yes,no,no
680.03,8.72,78,3,1985,14,simple,yes,yes,yes,no,no
450.96,11.27,40,2,1991,15,good,yes,yes,yes,no,no
968.16,9.31,104,4,1998.5,14,simple,yes,yes,yes,yes,no
369.05,7.53,49,2,1957,3,good,yes,yes,yes,no,no
653.16,7.26,90,3,1918,3,good,yes,yes,no,yes,yes
479.95,9.23,52,2,1957,25,simple,yes,yes,yes,no,no
533.75,8.09,66,2,1966,25,good,yes,yes,yes,no,no
200.84,3.09,65,3,1948,25,simple,no,no,no,no,no
349.06,6.12,57,3,1948,25,simple,yes,yes,no,no,no
899.73,9,100,4,1966,25,good,yes,yes,yes,yes,no
843.64,9.93,85,3,1973,19,good,yes,yes,yes,yes,no
597.47,6.87,87,3,1924,19,simple,yes,yes,yes,no,no
1308.94,10.91,120,4,1957.5,19,simple,yes,yes,yes,yes,no
676.77,3.76,180,6,1924,5,good,no,yes,yes,no,no
528.03,9.78,54,2,1966,13,simple,yes,yes,yes,no,no
856.24,9.96,86,3,1983,4,good,yes,yes,yes,no,no
971.47,10.56,92,3,1966,4,simple,yes,yes,yes,no,no
369.84,11.21,33,1,1957,4,good,yes,yes,yes,no,no
408.84,7.86,52,1,1957,4,good,yes,yes,yes,no,no
334.41,4.78,70,3,1924,4,good,yes,yes,yes,no,no
711.56,8.18,87,3,1972,25,good,yes,yes,yes,no,no
563.79,7.05,80,4,1918,6,simple,no,no,yes,no,no
585.44,10.64,55,2,1918,9,good,yes,yes,yes,no,no
770.34,8.66,89,3,1993,18,best,yes,yes,yes,no,no
622.11,11.31,55,2,1993,14,simple,yes,yes,yes,no,yes
246.18,6,41,2,1957,14,simple,yes,yes,no,no,no
1173.94,6.35,185,6,1918,5,good,yes,yes,yes,yes,no
537.38,6.72,80,3,1957,5,simple,yes,yes,yes,no,no
293.22,5.14,57,2,1966,14,simple,yes,yes,yes,no,no
562.43,9.53,59,3,1966,14,simple,yes,no,yes,no,no
383.48,9.59,40,1,1969,13,good,yes,yes,yes,no,no
688.31,7.65,90,4,1986,13,good,yes,yes,yes,no,no
477.73,9.01,53,2,1998,13,simple,yes,yes,yes,no,no
1037.94,10.59,98,4,1991,13,simple,yes,yes,yes,no,yes
639.12,11.62,55,2,1993,16,good,yes,yes,yes,no,yes
1091.6,13.64,80,3,1957.5,3,good,yes,yes,yes,no,yes
618.67,8.14,76,3,1957,3,good,yes,yes,no,no,no
741.39,9.38,79,3,1948,3,good,yes,yes,yes,no,no
312.92,12.04,26,1,1967,12,good,yes,yes,yes,no,no
408.32,8.88,46,2,1957,12,simple,yes,yes,no,no,no
826.26,8.88,93,3,1918,5,good,yes,yes,yes,no,no
350.63,7.3,48,2,1960,5,simple,yes,yes,no,no,no
383.47,10.36,37,1,1957,17,simple,yes,yes,yes,no,no
493.43,12.34,40,1,1972,5,simple,yes,yes,yes,no,no
666.51,10.58,63,2,1981,5,good,yes,yes,yes,no,no
664.69,8.86,75,3,1971,16,simple,yes,yes,yes,no,no
551.7,7.16,77,3,1971,16,simple,yes,yes,no,no,no
585.09,8.13,72,3,1970,16,simple,yes,yes,yes,no,no
450.96,6.44,70,3,1966,16,good,yes,yes,yes,yes,no
593.77,7.61,78,3,1976,16,good,yes,yes,yes,yes,no
598.22,8.93,67,2,1948,12,simple,yes,yes,yes,no,no
420.15,7.24,58,2,1960,2,good,yes,yes,no,no,no
618.84,9.1,68,2,1948,17,simple,yes,no,yes,no,no
507.02,6.95,73,3,1957,17,simple,yes,yes,yes,no,no
531.75,8.86,60,2,1986,17,simple,yes,yes,yes,no,yes
734.54,8.64,85,4,1918,5,simple,yes,yes,yes,no,no
1017.49,12.72,80,3,1998,2,good,yes,yes,yes,no,no
567.55,12.34,46,2,1993,2,simple,yes,yes,yes,no,no
500.06,8.2,61,2,1957.5,2,simple,yes,no,yes,no,no
331.17,8.71,38,2,1918,2,simple,yes,yes,yes,no,no
593.11,10.59,56,2,1957,2,simple,yes,yes,yes,no,no
134.37,2.24,60,2,1957.5,2,simple,yes,no,yes,no,no
195.72,4.89,40,2,1918,8,simple,yes,no,yes,no,no
659.64,6.6,100,4,1918,8,simple,yes,yes,yes,no,no
773.08,11.04,70,3,1918,13,good,yes,yes,yes,no,no
313.78,4.3,73,3,1918,5,good,yes,yes,yes,no,no
279.21,5.47,51,2,1960,5,good,yes,yes,no,no,no
660.79,10.01,66,2,1991,15,good,yes,yes,yes,no,yes
474.4,3.95,120,4,1918,6,simple,yes,yes,yes,no,no
574.14,8.83,65,3,1968,7,simple,yes,yes,yes,no,no
180.4,3.22,56,2,1957,7,simple,yes,no,no,no,no
736.42,6.29,117,3,1918,6,simple,yes,no,no,no,no
360.56,4.74,76,3,1924,6,simple,yes,yes,yes,no,no
736.9,10.53,70,2,1918,12,good,yes,yes,yes,no,no
536.87,10.74,50,3,1960,24,simple,yes,yes,yes,no,no
682.79,10.04,68,3,1967,4,simple,yes,yes,yes,no,no
531.76,6.04,88,3,1918,4,good,yes,no,no,no,no
372.6,4.19,89,3,1993,4,good,yes,yes,no,no,no
575,6.85,84,3,1957,2,good,yes,yes,yes,no,no
282.93,9.13,31,1,1957,1,good,yes,yes,yes,no,no
705.59,8.02,88,4,1972,24,simple,yes,yes,yes,yes,no
513.26,7.44,69,2,1966,24,simple,yes,yes,yes,no,no
1004,11.16,90,4,2000,10,simple,yes,yes,yes,yes,no
434.6,7.76,56,2,1966,10,simple,yes,yes,yes,no,no
448.55,6.06,74,3,1960,17,simple,yes,yes,yes,no,no
564.65,8.96,63,2,1957,17,simple,yes,yes,yes,no,no
423.99,7.85,54,2,1971,17,simple,yes,yes,yes,no,no
684.73,7.96,86,4,1977,16,simple,yes,yes,no,no,no
1043.73,9.85,106,3,1918,2,simple,yes,yes,yes,no,no
276.33,3.18,87,4,1948,9,simple,yes,yes,yes,no,no
310.91,9.42,33,2,1966,9,good,yes,yes,no,no,no
460.17,8.68,53,2,1918,9,good,yes,yes,yes,no,yes
363.77,5.05,72,3,1948,9,simple,yes,yes,no,no,no
509,6.53,78,3,1968,19,simple,yes,yes,yes,no,no
643.26,10.21,63,3,1948,20,good,no,no,yes,no,no
385.61,4.94,78,3,1966,7,good,yes,yes,yes,no,no
700.68,9.47,74,4,1974,16,simple,yes,yes,yes,no,no
380.62,9.52,40,1,1988,15,good,yes,yes,yes,no,no
399.49,7.68,52,2,1969,15,good,yes,yes,yes,no,no
999.22,7.69,130,4,2000,15,good,yes,yes,yes,yes,no
687.26,9.68,71,3,1966,17,simple,yes,yes,yes,no,no
394.21,7.44,53,2,1957.5,2,simple,yes,yes,yes,no,no
435.21,6.7,65,2,1957,2,simple,yes,yes,no,yes,no
370.72,5.53,67,2,1918,8,simple,yes,yes,yes,no,no
368.13,11.88,31,1,1985,11,simple,yes,yes,yes,no,no
1073.73,9.34,115,4,2000,12,simple,yes,yes,yes,yes,no
620.34,5.8,107,4,1971,12,simple,yes,yes,yes,no,no
413.09,7.38,56,2,1998.5,12,simple,yes,yes,yes,no,yes
724.37,9.17,79,3,1966,25,good,yes,yes,yes,no,no
384.03,6.86,56,2,1969,25,good,yes,yes,yes,no,no
1057.04,10.68,99,3,1989,21,simple,yes,yes,yes,no,yes
494.07,8.37,59,2,1983,20,simple,yes,yes,yes,no,no
465.74,6.47,72,2,1924,10,simple,yes,yes,no,no,no
265.22,2.95,90,4,1918,9,simple,no,no,yes,no,no
343.3,5.05,68,3,1957,3,good,no,no,no,no,no
398.54,6.53,61,3,1966,9,simple,yes,yes,no,no,no
787.2,9.84,80,2,1924,9,good,yes,no,no,no,no
706.83,11.78,60,2,1993,9,good,yes,yes,no,no,no
220.81,4.42,50,2,1957.5,9,simple,no,no,no,no,no
562.43,8.65,65,3,1966,7,simple,yes,yes,yes,no,no
392.8,5.46,72,4,1970,7,simple,yes,yes,yes,yes,no
299.57,8.81,34,2,1957,6,simple,yes,yes,yes,no,no
550.53,8.1,68,3,1918,6,simple,yes,yes,yes,no,no
383.69,10.37,37,1,1966,6,simple,yes,yes,no,yes,no
224.61,8.64,26,1,1960,3,good,yes,no,yes,no,no
613.05,8.28,74,3,1969,16,simple,yes,yes,yes,no,no
583.2,8.21,71,3,1973,16,good,yes,yes,yes,yes,no
573.43,5.73,100,5,1967,22,simple,yes,yes,yes,yes,no
807.86,9.5,85,3,1983,22,simple,yes,yes,yes,yes,no
398.69,12.46,32,1,1972,11,simple,yes,yes,no,no,no
367.65,5.74,64,2,1971,12,simple,yes,yes,yes,no,no
372.63,9.81,38,2,1971,11,simple,yes,yes,yes,no,no
618.67,8.25,75,2,1996,24,simple,yes,yes,yes,no,no
484.02,7.45,65,2,1970,23,simple,yes,yes,no,no,yes
568.35,8.24,69,2,1966,10,simple,yes,yes,yes,no,no
381.87,5.87,65,2,1981,9,good,yes,yes,yes,no,no
480.74,8.15,59,2,1975,10,simple,yes,yes,yes,no,no
1298.7,10.82,120,5,1990,10,simple,yes,yes,yes,no,no
392.95,13.1,30,1,1970,5,simple,yes,yes,yes,no,no
1232,11,112,4,1918,5,good,yes,yes,yes,yes,yes
462.8,11.57,40,1,1970,5,simple,yes,yes,yes,no,no
460.17,8.52,54,2,1986,7,simple,yes,yes,yes,no,no
418.24,6.86,61,2,1974,7,simple,yes,yes,yes,no,no
423.51,5.5,77,3,1966,7,simple,yes,yes,no,no,no
817.22,7.17,114,4,1974,7,simple,yes,yes,yes,yes,no
210.76,2.29,92,3,1948,13,good,yes,yes,yes,no,no
1578.39,12.14,130,4,1998.5,5,good,yes,yes,yes,no,no
950.01,10.92,87,3,1974,5,good,yes,yes,yes,no,no
422.07,10.55,40,1,1997,10,simple,yes,yes,yes,no,no
418.73,8.21,51,2,2000,10,simple,yes,yes,yes,no,yes
927.08,9.27,100,4,1970,24,simple,yes,yes,yes,no,no
404.79,6.98,58,3,1969,10,simple,yes,yes,yes,no,no
625.1,7.53,83,3,1972,10,simple,yes,yes,yes,no,no
827.69,8.9,93,3,1939,2,good,yes,yes,yes,no,no
614.58,7.23,85,2,1918,2,good,yes,yes,yes,no,no
452.16,6.65,68,2,1957,2,good,yes,yes,yes,yes,no
450.73,6.73,67,3,1957,2,good,yes,yes,yes,no,no
135.21,3,45,2,1924,16,simple,yes,yes,no,no,no
394.61,6.07,65,3,1960,19,simple,yes,yes,yes,no,no
444.41,12.01,37,2,1973,19,good,yes,yes,yes,no,no
598.82,6.88,87,3,1972,19,simple,yes,yes,yes,no,no
269.25,5.18,52,2,1924,16,simple,yes,yes,yes,no,no
399.5,4.81,83,4,1960,14,simple,yes,yes,no,no,no
766.95,10.23,75,2,1924,3,good,yes,yes,no,no,no
875.24,10.81,81,4,1966,1,good,yes,yes,no,no,no
425.64,5.75,74,3,1924,4,simple,yes,yes,no,no,no
419.46,12.71,33,1,1957,4,good,yes,yes,no,no,no
547.15,7.71,71,3,1966,9,simple,yes,yes,yes,no,no
601.59,10.03,60,2,1979,9,good,yes,yes,yes,no,no
815.53,10.59,77,3,1985,2,good,yes,yes,yes,no,no
196.85,7.57,26,1,1960,2,good,yes,yes,yes,no,no
635,6.9,92,3,1918,2,good,yes,yes,yes,no,no
1266.05,12.06,105,4,1918,3,simple,yes,yes,yes,yes,no
337.5,8.04,42,1,1957,3,simple,yes,yes,no,no,no
399.61,5.06,79,3,1957,8,simple,yes,no,no,no,no
359.02,5.52,65,2,1918,8,simple,yes,yes,yes,no,no
390.57,11.84,33,2,1957.5,8,simple,yes,yes,no,no,no
279.53,5.48,51,2,1957,8,simple,yes,no,no,no,no
908.72,7.57,120,6,1957,15,good,yes,yes,yes,yes,no
713.27,8.2,87,3,1966,15,good,yes,yes,yes,no,no
966.36,10.86,89,5,1988,15,good,yes,yes,yes,no,no
590.54,9.68,61,2,1987,14,good,yes,yes,yes,no,yes
652.49,8.82,74,3,1983,15,good,yes,yes,yes,no,no
637.82,7.87,81,3,1967,15,good,yes,yes,yes,no,no
494.53,5.68,87,3,1948,4,simple,yes,yes,yes,no,no
741.38,12.36,60,3,1960,2,simple,yes,yes,yes,no,yes
623.65,7.34,85,3,1918,2,simple,yes,yes,yes,no,no
690.26,8.74,79,3,1957.5,2,simple,yes,yes,no,no,no
1661.55,11.08,150,5,1966,13,simple,yes,yes,no,no,no
583.32,9.26,63,2,1983,13,good,yes,yes,yes,no,no
570.1,9.83,58,2,1957.5,13,simple,yes,yes,yes,no,no
874.32,11.21,78,2,1918,5,good,yes,yes,yes,no,yes
1452.93,11.62,125,4,1918,5,good,yes,yes,yes,no,yes
270.71,4.67,58,2,1948,16,simple,yes,yes,yes,no,no
305.45,4.93,62,3,1918,16,simple,yes,yes,yes,no,no
337.35,10.54,32,1,1966,3,good,yes,yes,yes,no,no
290.42,10.37,28,1,1972,3,good,yes,yes,yes,no,no
541.39,5.26,103,4,1918,3,good,yes,yes,yes,no,no
723.59,6.29,115,4,1918,3,good,yes,yes,yes,no,no
797.51,10.36,77,3,1957.5,3,good,yes,yes,yes,no,no
715.82,9.06,79,3,1966,3,good,yes,yes,yes,yes,no
1022.68,9.74,105,3,1918,3,good,yes,yes,yes,no,no
559.54,9.48,59,2,1989,12,simple,yes,yes,yes,no,no
479.41,6.85,70,3,1957.5,3,good,yes,yes,yes,no,no
327.52,10.23,32,1,1972,3,good,yes,yes,yes,no,no
410.57,12.44,33,1,1966,7,simple,yes,yes,yes,no,no
393.37,6.45,61,2,1966,7,simple,yes,yes,no,no,no
229.06,5.73,40,2,1918,6,simple,yes,no,no,no,no
342.57,5.35,64,3,1957,13,simple,yes,yes,yes,no,no
560.58,9.19,61,3,1957,13,simple,yes,yes,yes,no,no
364.3,7.75,47,2,1967,21,simple,yes,yes,yes,no,no
484.01,8.49,57,2,1960,18,simple,yes,yes,yes,no,no
464.56,10.32,45,2,1968,23,good,yes,yes,yes,no,no
270.07,4.22,64,2,1996,23,simple,yes,yes,yes,no,yes
561.35,7.02,80,3,1966,23,simple,yes,yes,no,yes,no
520.49,4.86,107,4,1957.5,24,simple,yes,yes,yes,no,no
387.24,6.35,61,3,1966,11,simple,yes,yes,yes,no,no
328.39,6.84,48,2,1966,11,simple,yes,yes,no,no,no
657.68,10.12,65,3,1960,11,simple,yes,yes,yes,no,no
815.71,10.88,75,3,1998,11,simple,yes,yes,no,no,yes
319.21,4.63,69,3,1957,3,good,yes,yes,yes,no,no
460.17,6.77,68,2,1918,1,good,yes,yes,no,no,no
603.34,9.73,62,3,1957,3,good,yes,yes,no,no,no
286,7.94,36,1,1948,3,good,yes,yes,no,no,no
989.17,11.64,85,3,1918,3,good,yes,no,yes,no,no
655.48,8.4,78,3,1960,4,good,yes,yes,yes,no,no
345.75,5.01,69,2,1957,3,good,yes,yes,yes,no,no
609.58,8.71,70,2,1957,3,good,yes,yes,yes,no,no
782.19,12.82,61,2,1957.5,3,good,yes,yes,yes,no,yes
355.36,8.46,42,2,1966,21,good,yes,yes,yes,no,no
644.34,7.86,82,3,1918,5,good,yes,yes,yes,no,no
243.44,3.93,62,3,1918,17,simple,no,yes,yes,no,no
392.18,7.69,51,1,1966,17,simple,yes,yes,no,no,no
568.93,8.89,64,2,1989,7,simple,yes,yes,yes,yes,no
535.92,7.66,70,3,1966,25,simple,yes,yes,yes,no,no
254.75,10.61,24,1,1960,25,good,yes,yes,no,no,no
1003.38,9.84,102,4,1996,25,simple,yes,yes,yes,no,no
415.57,7.29,57,2,1974,20,simple,yes,yes,yes,no,no
713.26,8.39,85,4,1975,20,good,yes,yes,yes,no,no
661.5,7.35,90,3,1966,6,simple,yes,yes,yes,no,no
352.68,7.2,49,2,1993,9,best,yes,yes,yes,no,no
1385.12,10.82,128,6,1991,9,good,yes,yes,no,no,no
738.8,10.55,70,3,1948,9,good,yes,yes,yes,no,no
306.61,12.78,24,2,1918,9,good,yes,yes,no,no,no
582.37,9.39,62,2,1966,9,good,yes,yes,yes,no,no
920.33,7.36,125,5,1924,9,good,yes,yes,yes,no,no
224.55,3.94,57,2,1918,25,simple,yes,yes,yes,no,no
524.09,8.88,59,2,1973,25,simple,yes,yes,no,no,no
487.77,6.77,72,3,1960,25,simple,yes,yes,no,no,no
501.96,5.84,86,4,1966,21,simple,yes,yes,no,no,no
640.83,8.66,74,3,1966,21,good,yes,yes,yes,no,no
548.79,9.98,55,1,1995,21,good,yes,yes,yes,no,no
523.33,7.81,67,3,1970,20,simple,yes,yes,yes,no,no
177.36,3.17,56,3,1957,25,simple,yes,no,yes,no,no
564.02,7.23,78,3,1948,25,simple,yes,yes,no,no,no
714.27,7.94,90,4,1966,13,simple,yes,yes,yes,no,no
377.59,4.97,76,3,1948,5,good,yes,yes,yes,no,no
468.92,7.33,64,3,1957,25,simple,yes,yes,yes,yes,no
686.32,8.07,85,4,1948,25,simple,yes,yes,yes,no,no
280.7,5.85,48,2,1957,25,simple,yes,yes,yes,no,no
504.4,5.87,86,4,1966,20,simple,yes,yes,no,no,no
364.18,5.06,72,3,1966,20,simple,yes,yes,yes,no,no
345.79,10.17,34,1,1970,25,good,yes,yes,no,no,no
193.38,2.93,66,3,1918,12,good,yes,yes,yes,no,no
193.18,1.89,102,4,1918,12,good,yes,yes,yes,no,no
883.53,8.84,100,4,1918,12,good,yes,yes,yes,no,no
362.13,10.65,34,1,1966,4,good,yes,yes,yes,no,no
306.4,9.88,31,1,1972,4,good,yes,yes,no,no,no
771.5,11.02,70,2,1974,5,good,yes,yes,no,no,no
490.85,12.27,40,1,1979,13,best,yes,yes,yes,no,no
580.32,10.55,55,2,1998,14,simple,yes,yes,yes,no,yes
667.25,7.5,89,2,1918,2,good,yes,yes,yes,no,no
601.65,9.4,64,2,1972,2,good,yes,yes,yes,no,yes
711.45,5.88,121,4,1918,2,good,yes,yes,no,no,no
370,5.21,71,2,1957,2,good,yes,yes,yes,no,no
347.74,6.95,50,2,1957,2,good,yes,yes,yes,no,no
967.62,11.12,87,2,1918,2,good,yes,yes,yes,yes,no
627.58,7.38,85,3,1918,2,good,yes,no,no,no,no
617.6,7.18,86,3,1960,4,good,yes,yes,yes,no,no
375.3,5.44,69,3,1966,24,simple,yes,yes,yes,no,no
639.21,11.62,55,2,1973,11,simple,yes,yes,yes,no,no
721.38,7.44,97,3,1918,11,simple,yes,yes,no,no,no
330.55,13.22,25,1,1966,4,simple,yes,yes,yes,no,no
675.71,10.09,67,2,1939,4,good,yes,yes,yes,no,no
1143.05,9.94,115,3,1970,13,simple,yes,yes,yes,no,no
354.63,11.82,30,1,1972,13,simple,yes,yes,yes,no,no
645.85,14.04,46,2,1994,18,best,yes,yes,yes,no,no
316.62,7.2,44,2,1957,12,simple,yes,yes,no,no,no
493.4,7.96,62,2,1957,2,good,yes,yes,no,no,no
456.33,7.73,59,3,1918,2,good,yes,yes,yes,no,no
801.7,6.41,125,4,1957.5,2,good,yes,yes,yes,no,no
421.68,10.54,40,2,1993,16,simple,yes,yes,yes,no,no
704.08,9.14,77,3,1990,13,good,yes,yes,yes,no,no
649.02,7.64,85,3,1983,16,simple,yes,yes,yes,no,no
663.33,9.61,69,3,1993,16,simple,yes,yes,yes,no,yes
642.39,12.12,53,2,1998.5,15,good,yes,yes,yes,no,yes
783.23,9.91,79,3,1957,15,good,yes,yes,yes,no,no
438.7,7.31,60,2,1957,4,good,yes,yes,yes,no,no
525.37,9.55,55,2,1957,4,good,yes,yes,yes,no,no
723.49,8.22,88,4,1970,16,simple,yes,yes,yes,no,no
342.57,9.26,37,1,1970,16,simple,yes,yes,yes,no,no
235.2,8.71,27,1,1971,16,simple,yes,yes,yes,no,no
510,5.8,88,4,1969,16,simple,yes,yes,yes,no,no
577.77,6.64,87,3,1918,5,simple,yes,yes,yes,no,no
157.51,2.54,62,3,1957,6,simple,yes,yes,yes,no,no
509.47,7.49,68,3,1966,24,simple,yes,yes,no,no,no
444.21,8.88,50,2,1989,9,good,yes,yes,yes,no,no
629.09,9.53,66,2,1924,9,best,yes,yes,no,no,no
604.17,7.28,83,3,1960,9,simple,yes,yes,no,no,no
398.82,8.86,45,1,1957.5,9,simple,yes,yes,yes,no,no
678.4,13.05,52,2,1957,3,simple,yes,yes,no,no,no
317.43,4.47,71,3,1918,9,simple,no,no,yes,no,no
434.61,8.2,53,2,1980,9,simple,yes,yes,no,no,no
717.71,7.48,96,3,1924,10,simple,yes,yes,no,no,no
525.71,7.62,69,3,1966,7,simple,yes,yes,yes,no,no
920.34,10.7,86,4,1966,6,simple,yes,yes,yes,no,no
494.28,8.24,60,2,1924,6,good,yes,yes,yes,no,no
460,7.93,58,2,1982,16,good,yes,yes,yes,no,no
598,8.79,68,2,1973,16,simple,yes,yes,yes,no,no
378.36,6.88,55,2,1970,16,simple,yes,yes,yes,no,no
824.58,6.76,122,3,1918,1,good,yes,yes,yes,no,no
1538.43,8.64,178,6,1983,1,good,yes,yes,no,no,no
716,5.97,120,4,1918,4,good,yes,yes,yes,no,no
434.56,4.14,105,4,1957,16,simple,yes,yes,no,no,no
766.95,10.23,75,3,1990,16,simple,yes,yes,yes,no,no
356.41,4.75,75,3,1918,3,good,yes,no,no,no,no
